docform_label,slice,count
c0000_r0000,-1,9
c0000_r0000,7,8
c0000_r0000,54,3
c0000_r0000,25,2
c0000_r0000,53,2
c0000_r0000,18,1
c0000_r0000,41,1
c0000_r0000,45,1
c0000_r0000,OTHER,7
c0001_r0000,-1,43
c0001_r0000,30,7
c0001_r0000,48,6
c0001_r0000,4,4
c0001_r0000,19,4
c0001_r0000,27,3
c0001_r0000,18,3
c0001_r0000,56,3
c0001_r0000,OTHER,29
c0002_r0000,-1,21
c0002_r0000,52,9
c0002_r0000,10,4
c0002_r0000,6,3
c0002_r0000,24,3
c0002_r0000,25,2
c0002_r0000,54,2
c0002_r0000,53,2
c0002_r0000,OTHER,20
c0003_r0000,7,20
c0003_r0000,-1,15
c0003_r0000,22,9
c0003_r0000,2,5
c0003_r0000,15,5
c0003_r0000,43,4
c0003_r0000,8,3
c0003_r0000,56,3
c0003_r0000,OTHER,31
c0003_r0001,-1,7
c0003_r0001,22,4
c0003_r0001,34,3
c0003_r0001,45,2
c0003_r0001,10,1
c0003_r0001,20,1
c0003_r0001,14,1
c0003_r0001,23,1
c0003_r0001,OTHER,4
c0003_r0002,22,6
c0003_r0002,30,3
c0003_r0002,33,2
c0003_r0002,39,2
c0003_r0002,6,1
c0003_r0002,50,1
c0003_r0002,7,1
c0003_r0002,44,1
c0003_r0002,OTHER,9
c0003_r0003,9,3
c0003_r0003,14,1
c0003_r0003,48,0
c0003_r0003,37,0
c0003_r0003,38,0
c0003_r0003,39,0
c0003_r0003,4,0
c0003_r0003,40,0
c0003_r0004,10,4
c0003_r0004,7,4
c0003_r0004,8,3
c0003_r0004,9,2
c0003_r0004,1,2
c0003_r0004,22,2
c0003_r0004,21,1
c0003_r0004,45,1
c0003_r0004,OTHER,5
c0003_r0005,-1,2
c0003_r0005,22,2
c0003_r0005,7,2
c0003_r0005,46,1
c0003_r0005,42,1
c0003_r0005,41,1
c0003_r0005,37,1
c0003_r0005,33,1
c0003_r0005,OTHER,4
c0003_r0006,-1,14
c0003_r0006,15,5
c0003_r0006,14,4
c0003_r0006,23,4
c0003_r0006,33,3
c0003_r0006,39,3
c0003_r0006,41,3
c0003_r0006,44,3
c0003_r0006,OTHER,24
c0004_r0000,-1,86
c0004_r0000,23,22
c0004_r0000,22,20
c0004_r0000,54,16
c0004_r0000,25,15
c0004_r0000,14,14
c0004_r0000,7,11
c0004_r0000,29,10
c0004_r0000,OTHER,211
c0004_r0001,0,20
c0004_r0001,-1,10
c0004_r0001,2,10
c0004_r0001,10,7
c0004_r0001,23,5
c0004_r0001,37,3
c0004_r0001,15,3
c0004_r0001,52,3
c0004_r0001,OTHER,32
c0004_r0002,-1,39
c0004_r0002,34,15
c0004_r0002,16,11
c0004_r0002,22,11
c0004_r0002,30,10
c0004_r0002,6,10
c0004_r0002,23,9
c0004_r0002,11,9
c0004_r0002,OTHER,89
c0004_r0003,-1,73
c0004_r0003,7,30
c0004_r0003,49,12
c0004_r0003,38,12
c0004_r0003,13,9
c0004_r0003,48,8
c0004_r0003,47,8
c0004_r0003,40,8
c0004_r0003,OTHER,94
c0004_r0004,-1,46
c0004_r0004,34,25
c0004_r0004,35,20
c0004_r0004,13,17
c0004_r0004,7,8
c0004_r0004,14,8
c0004_r0004,16,8
c0004_r0004,37,7
c0004_r0004,OTHER,81
c0005_r0000,-1,13
c0005_r0000,26,6
c0005_r0000,55,5
c0005_r0000,46,5
c0005_r0000,11,4
c0005_r0000,13,4
c0005_r0000,45,4
c0005_r0000,7,3
c0005_r0000,OTHER,23
c0006_r0000,4,14
c0006_r0000,33,2
c0006_r0000,3,2
c0006_r0000,-1,1
c0006_r0000,38,1
c0006_r0000,15,1
c0006_r0000,44,1
c0006_r0000,47,0
c0006_r0001,22,53
c0006_r0001,-1,41
c0006_r0001,53,28
c0006_r0001,51,13
c0006_r0001,42,11
c0006_r0001,23,11
c0006_r0001,45,10
c0006_r0001,35,9
c0006_r0001,OTHER,127
c0007_r0000,-1,5
c0007_r0000,38,3
c0007_r0000,14,2
c0007_r0000,23,1
c0007_r0000,7,1
c0007_r0000,55,1
c0007_r0000,53,1
c0007_r0000,51,1
c0007_r0000,OTHER,8
c0007_r0001,-1,13
c0007_r0001,22,8
c0007_r0001,45,5
c0007_r0001,56,4
c0007_r0001,54,4
c0007_r0001,53,4
c0007_r0001,25,4
c0007_r0001,7,3
c0007_r0001,OTHER,32
c0007_r0002,-1,12
c0007_r0002,22,9
c0007_r0002,5,6
c0007_r0002,35,5
c0007_r0002,25,5
c0007_r0002,7,4
c0007_r0002,53,4
c0007_r0002,41,4
c0007_r0002,OTHER,46
noise,-1,8
noise,55,3
noise,1,2
noise,56,2
noise,16,1
noise,39,1
noise,41,1
noise,29,1
noise,OTHER,1
