human_doc_type,human_doc_type_confidence,human_notes,keep_for_ontology,priority,docform_cluster,n_docs,example_rel_paths,example_previews,cluster_chargrams_hint
,,,,,c0004_r0000,587,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_030992.txt | TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_032379.txt | TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_032381.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_026024.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_029013.txt,"From: \r\nSent: \r\nTo: \r\nSubject: \r\nJeffrey Epstein [jeevacation@gmail.com] \r\n4/14/2009 7:02:11 PM \r\nFwd: FW: As Obama says ""We've got problems"" \r\n----------Forwarded message---------- \r\nFrom: gmax <gmaxlgellmax.com> \r\nDate:  || From: \r\nSent: \r\nTo: \r\nSubject: \r\nAttachments: \r\nDangene and Jennie Enterprise \r\n11/27/2016 5:50:02 PM \r\nJeffrey Epstein [jeeyacation@gmail.com] \r\nRe: \r\nEWLarge2.jpg \r\nImportance: High \r\ncool! Lets go to the inauguratio || From: Dangene and Jennie Enterpris \r\nSent: 11/27/2016 7:05:19 PM \r\nTo: jeffrey E. [jeeyacation@gmail.com] \r\nCC: Dangene and Jennie Enterprise \r\nSubject: Re: \r\nAttachments: EWLarge2.jpg \r\nImportance: High \r\nHAPPY thanksgiving w || From: \r\nSent: \r\nTo: \r\n11/28/2016 11:36:54 AM \r\njeeyacation@gmail.com; \r\nSubject: Ref. : TR: \r\nAttachments: butterfly_top.gif; butterfly_bottom.gif \r\nImportance: High \r\nDear jeffrey \r\nFrom our side we could postponed the tr || From: \r\nSent: \r\nTo: \r\nCC: lhsoffice \r\nSubject: Re: Trump \r\nLHS \r\n10/2/2016 12:26:35 PM \r\njeffrey E. [jeeyacation@gmail.com] \r\nImportance: High \r\nYes. Let's briefly discuss. Can u have her write me. \r\nSent from my iPhone ","e  |  t | s  |  a | in | th | d  | on | n  | he |  th | t  | re |  i | y  | at | er | an | ,  | or | ti |  o | the | is | te | en |  c | ed | r  | nd"
,,,,,c0004_r0003,391,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_018872.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_021434.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_021569.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_018804.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_029196.txt,"FEDERAL BUREAU OF INVESTIGATION \r\nFOI/PA \r\nDELETED PAGE INFORMATION SHEET \r\nFOI/PA# 1203982-1 \r\nTotal Deleted Page(s) = 152 \r\nPage 43 - b6; b7C; \r\nPage 44 - b6; b7C; \r\nPage 45 - b6; b7C; \r\nPage 46 b6; b7C; \r\nPage 47 b6; b7 || ﻿FEDERAL BUREAU OF INVESTIGATION \r\nFOI/PA \r\nDELETED PAGE INFORMATION SHEET \r\nFOI/PA# 1203982-1 \r\nTotal Deleted Page(s) = 156 \r\nPage 30 b6; b7C; \r\nPage 31 - b6; b7C; \r\nPage 32 - b6; b7C; \r\nPage 33 - b6; b7C; \r\nPage 34 - b6; || ﻿FEDERAL BUREAU OF INVESTIGATION \r\nFOI/PA \r\nDELETED PAGE INFORMATION SHEET \r\nFOI/PA# 1203982-1 \r\nTotal Deleted Page(s) 44 \r\nPage 75 b6; b7C; \r\nPage 76 - b6; b7C; \r\nPage 77 - b6; b7C; \r\nPage 78 - b6; b7C; \r\nPage 79 - b6; b7 || ﻿Integra Realty Resources \r\nCaribbean \r\nAppraisal of Going Concern \r\nIGY American Yacht Harbor Marina \r\nMixed Use Property \r\n18A-1, 18-B1,18-B and 18-W Remainder Estate Smith Bay \r\nEast End Quarter, St. Thomas, Virgin Islands \r || From: \r\nSent: \r\nTo: \r\nSubject: \r\nImportance: \r\nTalk in 40? \r\nLawrence Krauss \r\n8/29/2018 11:01:49 PM \r\njeffrey E. [jeeyacation@gmail.com] \r\nRe: October 19, Heidelberg \r\nHigh \r\nLawrence M. Krauss \r\nProfessor \r\nSchoo","e  |  t | s  |  a | in | th | d  | on | n  | he |  th | t  | re |  i | y  | at | er | an | ,  | or | ti |  o | the | is | te | en |  c | ed | r  | nd"
,,,,,c0006_r0001,310,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_019308.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_026228.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_029017.txt | TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_031813.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_019334.txt,"From: Steve Bannon [1] \r\nSent: 7/23/2018 12:18:57 AM \r\nTo: jeffrey E. [jeevacation@gmail.com] \r\nSubject: Re: Fw: \r\nImportance: High \r\nWell played sir \r\nSent via BlackBerry by AT&T \r\nFrom: ""jeffrey E."" <jeevacation@gmail.com> \ || From: Peggy Siegal \r\nSent: 11/20/2017 8:09:46 PM \r\nTo: Steven Pfeiffer \r\nSubject: \r\nAttachments: image001.png; image002.png; image003.png \r\nRE: 2017 IFP Gotham Awards \r\nImportance: High \r\nDear Steven, \r\nSee below: \r\n, jeff || From: Deepak Chopra_____________________ \r\nSent: 11/10/2016 10:30:08 PM \r\nTo: jeffrey E. [jeeyacation@gmail.com] \r\nSubject: Re: \r\nImportance: High \r\nThanks \r\nDeepak Chopra \r\n2013 Costa Del Mar Road \r\nCarlsbad, CA 92009 \r\nS || From: Richard Kahn \r\nSent: 7/13/2018 6:46:14 PM \r\nTo: jeffrey E. [jeeyacation@gmail.com] \r\nSubject: Re: AVG° \r\nImportance: High \r\ni do not believe so.. \r\ni will look into exact trades.. \r\nRichard Kahn \r\nHBRK Associates Inc.  || From: \r\nSent: \r\nTo: \r\nSubject: \r\njeffrey E. [jeeyacation@gmail.com] \r\n7/23/2018 12:03:28 AM \r\nRe: Fw: \r\nImportance: High \r\nEurope can be a wife not a mistress \r\nOn Mon, Jul 23, 2018 at 2:02 AM jeffrey E. <jeevacation@gmail","e  |  t |  a | s  | y  |  i | on | th | at | in | ,  | n  | d  |  th | ti | co | re |  c | t  | or | is |  co | he | __ |  o | ___ | ed | ____ | er | ma"
,,,,,c0004_r0002,232,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_021106.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_026484.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_030209.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_026280.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_025329.txt,"From: jeffrey E. [jeeyacation@gmail.com] \r\nSent: 5/13/2018 11:03:18 AM \r\nTo: \r\nSubject: Re: Fw: WSJ \r\nNothing attached \r\nOn Sun, May 13, 2018 at 7:00 AM Steve Bannon < > wrote: \r\nSent via BlackBerry by AT&T \r\nFrom: Alexandra P || From: jeffrey E. [jeeyacation@gmail.com] \r\nSent: 6/23/2018 4:01:37 PM \r\nTo: Kathy Ruemmler \r\nSubject: Fwd: Re: \r\nAttachments: image003.png; image002.png; image001.png; image004.png \r\nImportance: High \r\ni htink weak thoughts? \r\ || From: \r\nSent: \r\nTo: \r\nSubject: \r\nFabrice Aidan \r\n7/11/2013 2:44:31 PM \r\nJeffrey Epstein [jeeyacation@gmail.com] \r\nFwd: (s) 7/11, Atlantic Council (Hof): Syria: Blackberry Diplomacy \r\nImportance: High \r\nYou'll find it inter || From: Kathy Ruemmler \r\nSent: 6/23/2018 5:11:45 PM \r\nTo: jeffrey E. [jeeyacation@gmail.com] \r\nSubject: Re: Fwd: Re: \r\n1 \r\nImportance: High \r\nYawn. And David Rivkin is a hack. Zero — and I mean zero — chance that a court would fin || From: paul krassner [paulkrassner@roadrunner.com] \r\nSent: 1/16/2019 7:50:41 PM \r\nTo: Nancy Cain [ ]; Tom [ \r\nSteven Gaydos [IM=1]; George Krassner [ \r\n]; Holly Krassner Dawson [ \r\n1 \r\nMarie Moneysmith [ \r\n]; Linda W. Grossman ","e  |  t | s  |  a | in | th | d  | on | n  | he |  th | t  | re |  i | y  | at | er | an | ,  | or | ti |  o | the | is | te | en |  c | ed | r  | nd"
,,,,,c0004_r0004,199,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_019297.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_030266.txt | TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_033479.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_026520.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_022212.txt,"RICHARD D. EMERY \r\nANDREW G. CELLI, JR. \r\nMATTHEW D. BRINCKERHOFF \r\nJONATHAN S. ABADY \r\nEARL S. WARD \r\nILANN M. MAAZEL \r\nHAL R. LIEBERMAN \r\nDANIEL J. KORNSTEIN \r\na ANDREW F. WILSON \r\nELIZABETH S. SAYLOR \r\nKATHERINE RosEN || From: \r\nSent: \r\nTo: \r\nSubject: \r\npa ul krassner \r\n12/3/20184:59:38 PM \r\nNancy Cain \r\nFwd \r\nImportance: High \r\nBegin forwarded message: \r\nFrom: ""The Daily Beast: AM Cheat Sheet"" <emails@thedailybeast.com> \r\nSubject: Mic || ﻿lARCH 14„ 2010 \r\n)RK TIMES \r\nill \r\npub-\r\ncts \r\non \r\nad \r\n77LLERSON OUSTED \r\nAS TRUMP SILENCES \r\nDISSENT IN CABINET \r\nPick for CLA. Chief \r\nRan Secret Prison \r\nBy ADAM GOLDMAN \r\nWASHINGTON — Just over a \r\nyear af || ﻿ExP•sso vossis 27 DE SEPnExteslE DE 2013 \r\nECONOW \r\nEl licor servido en \r\nlocales de fiestas sera \r\nconfl'Olad0. \r\nPet 6 \r\n_ \r\nECONOM1A \r\niLa potencia asiatica es \r\ntentada a controlar la \r\neconornia venezolana. \r\nPis || ﻿16 The Virgin Islands Daily News NATION Saturday, March 2, 2019 \r\nDems want Acosta out over Epstein case. GOP \r\nseeking investigation. Then there's Matt Gaetz \r\nWASHINGTON — Democrats \r\nare calling for Labor Secretary Ala \r\nAcost","e  |  t | s  |  a | in | th | d  | on | n  | he |  th | t  | re |  i | y  | at | er | an | ,  | or | ti |  o | the | is | te | en |  c | ed | r  | nd"
,,,,,c0001_r0000,154,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_027074.txt | A. Evidence List_0_0_0_0.pdf | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_020153.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_030030.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_016574.txt,"﻿\r\n\r\nThe case for the FC2 female condom\r\n the female health company\r\n                    \r\n                    \r\n                    \r\n                    \r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\nOverview\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r || 50D-NY-3027571 \nType(s):1B, 1D, 1E\nItem #\nType \n1B146 \nDigital \n1B145 \nDigital \n1B144 \nDigital \n1B143 \nDigital \n1B142 \nDigital \n1B141 \nDigital \n1B140 \nGeneral \n1B139 \nGeneral \n1B138 \nGeneral \n1B137 \nGeneral \n1B136 \n || ﻿[DECEMBER DRAFT--- 287 pages]\r\n\r\n\r\n\r\nTHE SNOWDEN AFFAIR \r\n\r\n\r\n A Spy Story in Six Parts\r\n\r\n\r\n\r\nBy Edward Jay Epstein\r\n\r\n\r\n\r\n\r\n                                            CONTENTS\r\n\r\n\r\n\r\n              || ﻿                    \n29 March, 2011\r\r\nArticle 1.	Foreign Policy\r\nThe Syrian Time Bomb\r\nPatrick Seale	\r\nArticle 2.	Politico\r\nObama failing as commander in chief\r\nRobert D. Blackwill	\r\nArticle 3.	The Financial Times\r\nLibya, || ﻿          	     TOWN OF PALM BEACH	 \r\r\n        	  		  POLICE DEPARTMENT\r\r\n			\r\r\n                                                    A NATIONAL AND STATE ACCREDITED LAW ENFORCEMENT AGENCY\r\r\n\r\r\n\r\r\n\r\r\n\r\r\n              ","e  |  t | s  |  a | th | in | he | t  | d  | n  |  th | er | an | on | re | ,  | the | he  |  o | at |  i |  the | en | or | ti | es | te | nd | y  | the "
,,,,,c0004_r0001,113,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_022780.txt | Jeffrey Epstein Part 01 of 08.pdf | Jeffrey Epstein Part 05 of 08.pdf | Jeffrey Epstein Part 16 of 16.PDF | Jeffrey Epstein Part 13 of 13.pdf,i \r\ni \r\ni \r\nNon-Responsive - Redacted \r\ni i \r\ni i \r\ni i \r\ni i \r\ni i \r\ni \r\ni \r\ni \r\ni \r\nNon-Responsive - Redacted \r\ni i \r\ni i \r\ni i \r\ni i \r\ni i \r\ni \r\ni \r\ni \r\ni \r\nNon-Responsive - Redacted \r\ni i  || Page\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\n1;\nPage\nPage\nPage\nPage\nPage\nPage\nPage\n1;\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage || Page\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\n || Page\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\n || Page\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\nPage\n,"e  |  t | s  |  a | in | th | d  | on | n  | he |  th | t  | re |  i | y  | at | er | an | ,  | or | ti |  o | the | is | te | en |  c | ed | r  | nd"
,,,,,c0007_r0002,111,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_026428.txt | TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_032314.txt | TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_032415.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_026094.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_026426.txt,"From: \r\nSent: \r\nTo: \r\nSubject: \r\nAttachments: \r\njeffrey E. [jeevacation@gmail.com] \r\n11/28/2016 12:46:44 PM \r\nLesley Groff \r\nFwd: Ref. : TR: \r\nbutterfly_top.gif; butterfly_bottom.gif \r\n----------Forwarded message-------- || From: \r\nSent: \r\nTo: \r\nSubject: \r\nAttachments: \r\nAndres Serrano \r\n10/10/2016 10:21:57 PM \r\njeffrey E. [jeeyacation@gmail.co.m] \r\nRe: \r\nIMG_0033.jpeg \r\nImportance: High \r\nThey're huge! \r\nOn Oct 10, 2016, at 6:06 PM, je || From: Richard Merkin \r\nSent: 1/8/2017 9:11:37 PM \r\nTo: jeffrey E. [jeeyacation@gmail.com] \r\nSubject: RE: Re: \r\nImportance: High \r\nWhere? \r\nFrom: jeffrey E. [mailto:jeevacation@gmail.com] \r\nSent: Sunday, January 8, 2017 1:07 PM || From: Nicholas Ribi \r\nSent: 5/27/2017 10:23:02 PM \r\nTo: jeffrey E. [jeeyacation@gmail.com] \r\nSubject: Re: \r\nImportance: High \r\nYes but bad time call me at 8 or early tomorrow \r\nSent from my BlackBerry 10 smartphone. \r\nFrom: Je || From: jeffrey E. [jeevacation@gmail.com] \r\nSent: 11/28/2016 11:37:12 AM \r\nTo: \r\nSubject: Re: Ref. : TR: \r\nAttachments: butterfly_top.gif; butterfly_bottom.gif \r\nyes \r\nOn Mon, Nov 28, 2016 at 6:36 AM, \r\nDear jeffrey \r\n> wrote","e  | y  | on |  t |  a |  i | s  | at | in | th | d  | co | n  | ,  | ti |  c |  th |  co | or | is | __ | re | ___ | ____ | ma | ed | t  | is  |  o | he"
,,,,,c0003_r0000,103,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_012707.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_026517.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_029402.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_016698.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_031227.txt,"I WEST PALM BEACH OFFICE: \r\n2139 PALM BEACH LAKES BLVD. \r\nWEST PALM BEACH, FLORIDA 33409 \r\nRO. BOX 3626 \r\nWEST PALM BEACH, FLORIDA 33402 \r\n(561) 686-6300 \r\n1-800-780-8607 \r\n1-800-220-7006 Spanish \r\nATTORNEYS AT LAW: \r\nROSA || From: \r\nSent: \r\nTo: \r\nCC: \r\nSubject: \r\nTerry Kafka [_________________________________ \r\n8/19/2013 8:34:18 PM \r\nMark L. Epstein [iM1=1; Jeffery Edwards [jeeyacation@gmail.com]; 'Warren Eisenstein' \r\nMark Albert_______________ || From: Deepak Chopra \r\nSent: 3/22/2017 7:29:01 PM \r\nTo: Jeff Epstein [jeeyacation@gmail.com] \r\nCC: Barnaby Marsh________________________________ \r\nSubject: Fw: HMS-Today's News (March 22, 2017) \r\nAttachments: image001.png; OutlookE || ﻿mailing\r\nOwner last Name Owner First Name Parcel Address Suite Mailing Address Suite City State Zip \r\nEXTOR E & MARY J        \r\nEXTOR MARY J        \r\nWETENHALL ROBERT C &        \r\nMYERS STEPHEN E        \r\nKREHBIEL F A II & KATH || From: \r\nSent: \r\nTo: \r\nCC: \r\nSubject: \r\nDarren, \r\nMoskowitz, Bennet J. \r\n7/13/2016 6:02:16 PM \r\nDarren Indyke \r\nJeffrey Epstein [jeeyacation@gmail.com] \r\nRE: JUDGE SWEET ALLOWING STEVEN HOFFENBERG TO TALK WITH THE TOWERS ",__ | ___ | e  | ____ | :  | in | s  | on | n  | om |  t | t  | re | or | en | an |  a | at | d  | y  | th |  T |  S | er | ti | nt | te | ar |  H | he
,,,,,c0007_r0001,86,TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_032760.txt | TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_032336.txt | TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_032214.txt | TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_032780.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_026343.txt,"From: \r\nSent: \r\nTo: \r\nCC: \r\nSubject: \r\nLHS \r\n3/25/2018 5:25:02 PM \r\njeffrey E. [jeeyacation@gmail.com] \r\nlhsoffice \r\nRe: \r\nImportance: High \r\nGot it till when ? \r\nSent from my iPhone \r\nPlease direct all scheduling  || From: ehbarak \r\nSent: 11/7/2016 3:54:57 AM \r\nTo: jeffrey E. [jeeyacation@gmail.com] \r\nSubject: Re: speak. JE \r\nImportance: High \r\nHi Jeff \r\nThe Trump momentum, \r\nI believe was stopped. \r\nHillary might be on her way to Win. B || From: \r\nSent: \r\nTo: \r\nSubject: \r\nAgreed \r\njeffrey E. [jeeyacation@gmail.com] \r\n3/24/2018 10:07:32 PM \r\nRe: \r\nOn Sat, Mar 24, 2018 at 5:55 PM \r\nThanks! I think we've heard enough proofs on this subject today:) \r\nMiroslav  || From: LH \r\nSent: \r\nTo: \r\nCC: lhsoffice \r\nSubject: Re: \r\n7/17/2018 12:18:53 AM \r\njeffrey E.  [jeeyacation@gmail.com] \r\nImportance: High \r\nDo the Russians have stuff on Trump? \r\nToday was appalling even by his standards. \r\ || From: \r\nSent: \r\nTo: \r\nSubject: \r\nMichael Wolff \r\n5/23/2019 12:56:01 AM \r\nJ [jeevacation@gmail.com] \r\nRe: \r\nImportance: High \r\nLunch tomorrow? Or after? I have 4:00 appt. anytime before works. \r\nOn Wed, May 22, 2019 at 8:","e  | y  | on |  t |  a |  i | s  | at | in | th | d  | co | n  | ,  | ti |  c |  th |  co | or | is | __ | re | ___ | ____ | ma | ed | t  | is  |  o | he"
