group_col,group_value,topic_cluster,topic_size,keywords
docform_cluster,c0006_r0001,2,62,"york, new york, new, want, long, man, send, fun, need, end, nice, stay, bring, worry, door"
docform_cluster,c0006_r0001,9,25,"saudi, market, funds, saudis, review, friends, news, plus, paris, old, guess, say, number, big, dollars"
docform_cluster,c0006_r0001,4,22,"say, join, mind, women, fingers, needs, political, nation, complex, changes, girl, apartment, hows, point, times"
docform_cluster,c0006_r0001,7,22,"help, appreciate, need, birthday, want, really, point, remember, david, problem, happy, ask, check, shoot, color"
docform_cluster,c0006_r0001,8,19,"yes, wants, fact, story, account, internet, latest, center, art, started, je, change, claims, media, tell"
docform_cluster,c0006_r0001,11,18,"true, saudi, interesting, bin, counsel, director, new, looked, writes, prince, liked, hear, president, mbs, face"
docform_cluster,c0006_r0001,10,16,"world, bad, dollars, tax, business, answer, used, talked, question, son, happy, want, agree, news, liked"
docform_cluster,c0006_r0001,3,15,"white, white house, nsa, unfortunately, staying, month, house, city, stuck, right, problem, pretty, letter, deal, ask"
docform_cluster,c0006_r0001,5,15,"correct, speak, place, self, uh, thats, free, went, yes, way, course, pulling, far, ride, maybe"
docform_cluster,c0006_r0001,1,13,"anytime, great, drive, court, stop, usa, tomorw, en, filed, need, best, btw, lunch, probably, civil"
docform_cluster,c0006_r0001,6,13,"stock, reason, lots, abandon, publicly, president, buy, europe, normal, opportunity, circle, wrong, story, high, happened"
docform_cluster,c0006_r0001,0,12,"phone, episodes, times, weekend, flexible, bad, anytime, list, easy, discuss, number, important, afternoon, gone, late"
