doc_id,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,topic_cluster
00aef918e51b5d3f93d93916,6.6835127,4.791705,-3.9337955,3.4204476,0.13699745,2.1098115,7.6761365,2.6699314,-3.7240205,-8.367216,-1
00bdafe1c3a82c73ef529c4d,6.7216654,5.3703675,-4.8708873,2.5077322,-0.6284712,3.1834397,8.577199,2.6720197,-3.7745917,-7.8278885,5
00d80ce0d8e916839d6c0200,7.365278,5.25773,-4.6137643,2.7745917,-0.5615981,2.7662506,7.988569,1.4712569,-3.2976341,-8.21962,-1
00fb57fb8af6c8b1321fe950,6.962284,4.2553425,-3.7832901,2.4191363,-0.5325754,1.6713835,7.703882,2.5190234,-3.3567374,-7.7704525,-1
0243aae57d53fe295df73970,7.188653,4.982228,-3.925677,3.8454032,-0.252267,2.3387642,7.508735,2.6227527,-3.5111322,-8.1709585,4
024456928cc8ca0eeed8aaa0,6.505929,5.3069015,-4.3698983,2.7483273,0.125211,1.2740986,7.1588116,2.1352203,-3.3499565,-7.6500554,-1
03827740a0dd016fcd0fa2f4,5.392848,6.616236,-3.528451,2.5629377,-0.49344915,1.9402882,7.029933,2.7969253,-3.6689007,-7.8576236,0
03b34133b276b6c7a5b48637,6.718852,5.46816,-3.654166,4.3660493,-0.19914465,2.9207847,6.2148714,1.627442,-3.2805264,-7.255422,1
03d5e2a2cb3538101d3c4470,6.8461823,5.437421,-4.9043694,2.369497,-0.5206982,2.9386084,8.496003,2.5309231,-3.5519118,-7.780484,5
03dbd8c580b42d969ac46a74,7.767578,6.2457566,-4.6091347,2.5529819,0.6205458,2.762029,7.3996816,2.2819345,-2.1533434,-8.368059,2
0433fa4173a970b3e870d933,6.360608,4.606016,-4.580189,3.3869672,0.44358167,1.1284723,7.7949243,2.2879596,-3.6261375,-8.0677185,6
044759339a4272bb2f6cd1c1,5.672312,6.3954806,-3.652461,2.6030188,-0.5693179,1.982943,7.0078053,2.8671956,-3.5785787,-7.927935,0
04842e76c17a3d9f50dd0759,5.339712,6.6575046,-3.447439,2.5760405,-0.5091564,1.9023023,7.0243506,2.787455,-3.6919973,-7.949301,0
04cbf374cfb5373a806fa52e,7.4971466,5.8308005,-4.7023563,2.478502,-0.22167844,2.4006038,7.8428693,2.13794,-3.774856,-8.200421,-1
04d5789244416c5b83b83153,6.541177,5.432983,-3.7202995,4.385975,-0.18919188,2.838215,6.170403,1.6702679,-3.2796936,-7.3175364,1
05782c8bb1bda940f805d4fb,7.583539,5.897886,-4.620218,2.4986098,-0.14087033,2.4198234,7.740543,2.195645,-3.8690753,-8.232167,-1
05c6f341e002be4f02f60176,6.438134,4.942434,-4.5560865,3.659974,0.089712344,1.1157541,7.850729,2.3185523,-3.494679,-7.659221,6
0676f180e7338c5235269761,6.871866,5.466068,-3.5660381,4.438862,-0.05686699,2.9645367,6.428007,1.7156335,-3.3309941,-7.1510854,1
06e9df5a9796986ac2026e6a,6.979006,4.459441,-3.9198728,2.483775,-0.4926014,1.5089494,7.5436025,2.6810064,-3.1931474,-7.807916,-1
078f63a8b8d78881d094541f,5.3316007,6.629667,-3.5747795,2.4027214,-0.61475194,1.9610734,7.0802455,2.7440212,-3.8844903,-8.027365,0
08444ac424c212bdb1d24a5e,6.3428907,5.046928,-4.094787,2.282761,-0.7058786,1.9548913,7.832402,2.380074,-3.4986444,-7.378759,-1
084fb5e662844ed66c6cdb9f,7.4147425,5.15447,-4.6847377,2.877728,-0.52443403,2.8199487,7.920565,1.2761762,-3.3715525,-8.260222,-1
08622aeeed2dfcddc86a6955,6.687655,5.4791093,-3.5996377,4.4415703,-0.19273095,2.9521403,6.2020183,1.6748832,-3.3351793,-7.1914754,1
086a7ba127d2c8ec3ba15da2,6.474989,5.4318647,-3.6429012,4.402036,-0.20646149,2.794427,6.1781597,1.6393377,-3.268483,-7.322091,1
090178c29bb4aaafe2417a57,7.6963115,6.1148725,-4.539484,2.662956,0.48702884,2.6888564,7.4045086,2.268535,-2.2654707,-8.285302,2
0a21295bda9c67e71be0f72f,6.6554136,5.2391233,-4.213996,2.9207551,-0.7560977,2.0548735,7.8337975,2.5003955,-3.638102,-8.293874,-1
0a4e3333e4e92990004211b2,6.4932175,5.453762,-4.1522107,2.8875153,-0.43092453,1.8652521,7.293304,2.7270293,-3.190582,-7.930738,3
0ac1dddf888e9d1ac1b4ca05,6.66627,5.0781474,-3.9425645,3.4865625,0.19221799,2.0590901,7.1496663,2.1837654,-3.4680595,-8.281067,-1
0ac6dc5ad492f70668ed6bf7,7.0131955,5.202172,-3.9654722,3.7179036,-0.42955342,1.9342959,7.455073,2.049592,-2.7246897,-8.351724,-1
0b00a7bb27f3f6b50d1e0168,6.6827593,4.8675914,-3.7864556,3.901902,0.31012022,1.9574949,7.2630677,2.7983615,-3.4159803,-8.602651,-1
0b0ffb6c3dbc731eea71b9af,6.8852625,4.866189,-4.0971923,3.161593,0.42222926,1.803163,7.9329004,1.9366511,-3.541071,-7.605619,-1
0b43dcc35629f0113cd135f0,7.659181,6.163101,-4.602328,2.6585972,0.64144444,2.7039142,7.3553796,2.1525338,-2.147625,-8.354561,2
0b861cd5623e0f3fd3117baa,7.3819647,5.82539,-4.464306,2.734822,0.1944893,2.4939165,7.3649855,2.4658058,-2.6188533,-8.150257,2
0b9b2a169d50bd319188f958,6.900906,5.355303,-4.943958,2.4375517,-0.5842556,3.0820384,8.560098,2.518984,-3.617707,-7.842031,5
0bb5cc74ae63f7a2028e972c,6.974978,5.462769,-4.7828064,2.3771982,-0.53852403,2.6284654,8.139813,2.6053185,-3.2539864,-7.7563972,5
0bc6b8f72ec1a7abbf72802d,6.5867476,5.1842775,-4.337713,3.1079462,-0.43150583,2.0219142,8.154229,1.5819257,-3.1244807,-7.443977,6
0bf279dfa75fd53f25ac878a,7.075857,5.271151,-4.4643497,2.8304045,-0.17023322,2.3562915,8.008636,2.4016364,-3.1212642,-7.524333,6
0c163007d6963d213d72444b,6.8379025,5.355582,-4.064835,3.171089,-0.47420523,2.4573703,6.8961635,2.3420007,-3.1144817,-7.519351,-1
0c67a9fe0095f1b0886d916d,6.6781335,4.6089935,-4.353225,2.8494108,0.18113244,2.475711,8.031002,2.248971,-3.335735,-7.635751,-1
0c6cd6b523a4af4671b8c859,6.119903,5.3710046,-3.9314892,2.4753106,-0.7718989,2.6109283,7.7594676,2.473372,-3.9310024,-7.4987445,-1
0cbe18e12aa6ade1fb5c34a3,5.334478,6.6644793,-3.4715226,2.4689217,-0.56803715,1.8873922,6.970783,2.905661,-3.7833312,-8.008207,0
0cf7790401f14f71dbc7e492,6.8135867,5.7048836,-4.1076007,4.374431,-0.67637414,3.4275799,7.1391215,2.4991145,-4.1274166,-7.6004567,4
0d7e65f767b29ff3bb30da77,6.817238,5.2114415,-5.137675,3.672224,-0.48065212,2.4149568,7.656681,2.5646362,-3.5779517,-8.055388,-1
0d888d9ef0014c0edfb3e3df,7.598366,6.0747085,-4.5049324,2.5575383,0.38634622,2.5479348,7.243231,2.2924573,-2.2394044,-8.276758,2
0ea5af7d3fd597fd75f329fd,6.9094844,5.5563154,-4.085468,4.22931,-0.67565346,3.3211753,7.260081,2.6184871,-4.0609612,-7.7508154,4
0f51478e4486001dc5bea238,6.8741,5.3349795,-4.9369884,2.4612632,-0.60582715,3.067353,8.589126,2.583756,-3.6996775,-7.744936,5
0f920d4dfc172e207f8407b9,7.25909,5.07641,-4.2372675,3.152131,0.2650857,2.2587025,7.755352,2.094902,-3.205308,-7.415435,-1
0fcd7455bccdccfc3f9a75d7,7.4445086,3.9415581,-3.6346054,2.54833,-0.4923187,1.2032458,7.4558225,2.742883,-3.0194519,-8.04271,3
