doc_id,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,topic_cluster
008775e2a6db4943dc0b7a13,6.6631703,7.951565,5.8426967,7.9974732,2.1892576,0.12547047,3.2143536,7.4121566,5.0924783,7.4366164,3
0339550e4dd9b6ea2aabf8db,6.821282,7.567851,5.491825,7.2983685,3.118597,1.8093295,2.639957,5.990644,4.4627943,6.4864144,-1
03a3a88abad039b02ea44c6b,5.7973,7.200781,6.14794,7.0426917,2.3497932,2.918717,2.7364662,4.880744,5.657838,5.374755,2
0430d4debe5d0448a6c56648,6.01593,7.383643,5.8732977,7.5636597,2.568072,2.4549913,2.7961483,5.228455,5.3467116,5.4381857,2
05b03cf60043e84ece03713e,6.084779,7.82497,5.612997,7.529861,2.0785625,1.3424262,3.0324788,6.65493,5.277213,6.3844333,-1
06f21de5e9fbb69a455363bd,6.60978,6.8760257,5.2144675,7.011561,3.0028057,2.4216979,2.81996,5.70216,4.6274705,5.703307,-1
070a0bb2acd448b45401d4b4,6.875207,7.267561,5.0016108,7.8743734,3.3548048,1.1891387,2.290706,6.1137524,4.4114304,5.7104206,6
0865010a257f5c8b791dab1c,5.886001,7.3135185,6.100649,7.0663123,2.4823244,2.7060823,2.8761473,5.012755,5.5516624,5.50512,2
09b2d57f01abb97b3c311d5e,7.193747,7.6365695,5.3857007,7.9018764,3.1109197,1.9671711,2.1075656,6.3766932,4.573056,5.7131476,6
0a942004fd2d6d6dc09d0dcd,6.425373,8.141626,5.596529,8.225568,2.8539505,0.5347272,3.2329357,6.793933,4.7572503,6.5528073,-1
0d06c46110ce59a614b967f5,6.768548,8.034623,5.875019,7.954011,2.1088767,0.3582746,3.1413994,7.319353,5.020154,7.4371696,3
0e9403796fc475a102487770,7.1482043,7.9066553,5.6113253,7.533149,2.579597,2.0584233,3.052328,6.405553,4.452412,6.2900424,5
0f2da7f48141eec341e63b47,6.87406,7.518048,5.199132,7.913365,2.5643764,1.1525637,2.398749,6.500882,4.581549,6.4951177,4
0f9d080ea0522f91b5a2a351,7.041031,7.9791408,5.7141914,7.6329107,2.5922527,0.7642177,3.250828,7.141683,4.752858,6.955429,3
1008fa7e4c106ae42e8df4e2,6.9578624,7.9964814,5.6260157,7.687334,2.4498134,2.0116494,3.0393384,6.290362,4.50779,6.2323356,5
10a50d4186adc895bffdeff2,6.651403,8.037429,5.7698236,7.5700536,2.5954616,1.8525027,3.0730562,6.3106394,4.7270393,6.210402,5
1158b9aca32b4992a0b0d0ea,6.4788575,7.3605304,5.1179066,7.208345,3.2728963,1.7193416,2.9388018,5.969159,4.320412,5.998188,6
115d0184fd63f8afef57aaac,6.7672844,7.1196218,4.9675903,6.9246097,3.0457315,2.388258,3.0679705,6.1139665,4.3402057,5.716613,-1
12a4b360c182071f01ab7ae8,6.839757,6.880883,5.1154675,7.382519,3.252633,1.4997278,2.3505683,5.948439,4.497045,5.8949327,6
163d8e375ca4095866c2fc84,6.5412483,7.6916685,5.020935,7.843684,2.3657885,1.0812538,2.8130326,6.5335593,4.3675423,6.526799,4
16daba587cedc2499bb33701,6.634353,7.8939123,5.302927,7.1137495,3.1363366,2.1923964,2.2924151,6.1186028,4.4644084,6.09416,7
18570c07e0f990a48c7329af,7.215718,7.3475404,5.9010305,7.242142,2.9090815,1.9454198,2.811467,6.5768785,4.6901026,6.1400347,5
18664b3daa471cfb1f312d53,6.9362216,8.001483,5.5899997,7.4800663,2.6138692,0.778178,3.2310486,7.10635,4.6399956,6.867834,3
19d4e46d83a066e3dbb7c9d6,6.6405745,8.251483,5.394054,8.047758,2.9344335,1.6112422,2.4776418,6.270681,4.502603,6.131819,7
1ba24a198dc6239bdfdaa412,6.972703,7.7416854,5.2977386,7.9222736,3.1805356,1.8239986,1.8797011,6.249774,4.5749035,5.7411838,6
1bc8c7dcee1ae594f18bd007,8.128419,7.8613696,5.0006843,6.8181834,4.0878754,2.080789,3.300332,6.864835,3.5613766,5.968492,0
1d64b0e6eadc91383415f4bb,7.1322985,7.589492,5.5980983,6.9088864,3.3351107,1.6959671,3.5868752,6.678882,4.41109,6.0109124,-1
