doc_id,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,topic_cluster
003b6e650703ad5ad6a2b642,6.966211,4.860881,6.2410517,8.045714,7.7491817,1.9294447,11.750762,9.677703,2.0429025,4.7572255,5
00ac7ef1e265dcb355c20b4b,7.2945375,5.1230245,7.016305,8.145681,8.535495,2.2565455,12.201864,9.633185,2.0315418,4.860454,-1
00c79b6c3748fe2e1855dd6e,6.772881,4.4603105,7.39054,7.19007,8.0413265,2.4945583,12.534453,9.403105,2.2438436,6.0000257,0
017548042d248c41a51c73f7,7.1388516,4.9961896,6.8622675,7.353825,8.226359,2.4301105,12.476913,9.5406,1.1946174,5.5306716,0
01885aa226191ed0a174254f,6.974378,4.230909,6.16101,7.5202293,8.129325,2.1522782,13.424771,8.96332,1.6358719,5.2550035,2
02926b4bbdc48603a6e7c408,6.810539,4.323922,7.041255,7.157558,8.052241,2.4113374,12.794703,9.601541,1.396078,6.2220926,0
02e3aa63a6df84f88e76582b,7.0370145,4.499249,7.149077,7.383858,8.274729,3.0260506,13.1365595,8.675762,2.4731073,4.9037437,-1
047d4498c5f0e51405687467,7.3595233,4.6953263,7.1657963,7.751698,8.191045,3.0164099,12.449235,8.715766,2.4859214,4.4414945,4
07a0cfb6429e34277df6f775,6.801427,4.3494134,7.1181035,7.192561,8.158372,2.482931,12.920347,9.645285,1.4271888,6.159428,0
07f84e16033470aeaa0edb54,7.1445475,4.3048487,6.6352043,7.4754453,7.9242463,2.595695,12.554688,9.161226,1.9709756,5.352331,0
08ff15e9139ff319a600e333,7.5517664,5.327891,6.700515,7.664106,8.343633,2.4884708,12.300286,9.252491,0.9749755,4.872336,-1
0a412768ae4948b48e52fb29,7.6722307,4.354497,7.263146,7.8035073,8.5638485,3.5233884,12.570424,8.735119,2.652977,4.197513,4
0ca73929b1a1585de7a58aaf,6.7693005,4.4392033,7.487192,7.2614145,7.793052,2.5050542,12.909197,9.221229,2.4171376,5.760131,0
0daf51bf5b7774448cd8922b,6.7561436,4.592296,7.6285176,7.58331,8.460363,2.3022902,12.490672,9.143776,2.1359117,5.0725207,0
0eeff2b67d034ef44f95764b,7.288307,4.529293,6.324858,7.854549,8.792047,2.8443096,13.008325,8.882201,2.7051806,3.7672942,-1
0fc0dd43c48791d8abadbadb,7.333088,4.654161,7.0537415,7.546039,8.620001,3.4367707,12.612802,8.545599,2.8598702,4.0226307,4
103f367dbb977283f0be5497,6.9485855,4.8777304,7.0328894,7.455689,8.667189,3.2513013,12.576541,8.845267,2.901513,3.9778523,4
10ffd9de5e0245e8c6a23e46,6.675231,5.746378,7.027578,7.103079,9.207948,3.0048876,12.771464,9.825373,2.295195,4.915618,1
11ded4c33c991e51f2c6e06b,6.7827067,4.4200315,7.565237,7.283936,7.77845,2.5679893,12.885373,9.150137,2.3844893,5.7172384,0
125863fa50e12f70e02edae3,7.4313645,4.8442893,7.556395,8.00443,8.952315,3.089717,13.473424,8.974871,2.150549,4.667089,-1
12e28ef29479937712d19ccc,6.5372157,4.5586414,6.1932974,8.108393,8.609258,2.1943414,12.870328,9.2895155,2.7881138,3.6900358,3
1368a324bc5ac96ee4cc4698,7.226628,4.6122437,6.60655,7.9651103,8.565492,2.3350992,13.165884,9.213212,1.9662572,4.742299,2
14eca06b9255344a66adb31d,6.7171335,4.3891015,7.5372963,7.3611636,7.7654657,2.4698012,13.083953,9.150008,2.4274132,5.69124,0
159ecabb5a99122bbfabd96f,6.6248775,4.4736514,6.8138175,8.01438,8.24543,2.5809803,12.484016,9.113274,3.0139394,3.869424,3
