doc_id,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,topic_cluster
06acba39d689a223aa0163cb,1.0926454,4.097121,9.160797,4.0861697,0.21673454,8.749507,10.7063,9.599789,6.2214303,10.0543375,3.3268867,2.9955788,5.9079895,4.0401897,3.0261059,11
096ab47734e69af0a5087760,1.2415899,3.8965933,8.834732,3.2085223,1.6532848,9.584484,10.845752,9.544659,7.1842275,9.108026,3.7568817,3.748083,7.441864,5.295205,2.911107,7
0cb38f909410f23329a9f0cd,0.89273053,3.846854,9.320676,4.0839014,1.0653999,8.371192,10.924117,9.521215,6.857918,9.390363,3.6404338,3.6473155,5.846237,4.905672,3.0497358,-1
1479b85b219e177a25c353b1,1.2497774,3.894129,8.829661,3.201004,1.646396,9.580509,10.842851,9.54916,7.1758122,9.117803,3.7604477,3.7445533,7.428646,5.2942853,2.9141724,7
251c498d7e40ccf125150855,1.2623963,3.9000611,8.820496,3.1890335,1.6486173,9.590366,10.840123,9.549798,7.1760616,9.115602,3.752972,3.7350922,7.439304,5.2919273,2.9251325,7
2881b3de3ee0327b97022e31,0.93344045,4.1359963,9.332065,4.261741,0.5424755,8.757549,11.078884,9.05298,6.55453,9.42694,3.144716,3.2379212,5.6304936,4.24376,3.0567787,25
3a414a5797cb9752beb9256f,0.9359072,4.381735,9.543694,4.7893324,0.5827142,8.936908,10.121398,9.299083,6.6459136,9.692019,3.0897768,3.2535908,5.6959085,4.18291,3.0952494,-1
3a53f560c678cab0de7c6ca5,1.1268402,4.3787684,9.195729,4.241173,0.80323577,8.161697,11.56559,8.89988,7.338966,9.097126,2.4797654,3.1925151,5.788626,4.750305,3.6910248,53
415f7efd190be2056bd63922,1.4910313,3.5606203,9.160765,3.2241511,1.828671,9.094776,10.494993,9.840778,6.691583,8.644812,3.8012807,3.5963337,6.877975,5.5348926,3.0797417,-1
4803969575fff2d159168a61,1.2332484,3.9305897,8.838599,3.2273855,1.6673596,9.606514,10.864771,9.511863,7.196657,9.084059,3.7185748,3.7299678,7.452004,5.267408,2.9380076,7
4ce40b6c765f12232186c36d,1.0477725,3.943946,9.857495,3.87311,1.526226,7.993186,10.70106,9.255411,6.934492,8.92432,3.7087166,3.2038245,5.653553,5.2548885,3.504957,6
5278f32c67b2a7529ed25e65,0.90148586,4.2267227,9.54754,4.7942147,1.346007,8.583352,10.618494,9.187409,7.057299,9.110157,3.1219378,3.6507642,5.8783507,4.3431196,3.1930735,-1
55d86b49e97e2d30dc7ab883,1.2511367,3.9025438,8.819567,3.1917849,1.6444432,9.5862255,10.848121,9.541473,7.1719384,9.119747,3.7524543,3.740807,7.4345098,5.2873054,2.9174821,7
5c3b2d5865d5238b40e96bc1,1.2599616,3.893798,8.842877,3.2131147,1.6241493,9.56162,10.816464,9.569942,7.149583,9.126884,3.7454145,3.727273,7.4040203,5.2811337,2.9273705,7
5d6c4f605d5349dcd7e4e1c5,0.87924635,4.5506725,9.624694,4.2915626,0.47972435,8.811108,10.064129,9.74122,6.4626236,10.339998,3.429932,3.6977491,5.588225,4.636692,2.8311214,14
68328dffff0f9f118e8f9026,0.89007473,4.639814,9.435961,5.0565653,0.43092915,8.562599,10.41621,9.416836,7.4127097,9.628862,2.3992734,3.4338295,5.93529,4.719914,3.5002618,41
6b52ce32fdd3a1922acd8651,1.2479249,3.897086,8.825896,3.1972988,1.6499788,9.589488,10.846598,9.546288,7.1789107,9.112964,3.7583625,3.744536,7.4415064,5.294391,2.9139354,7
72dd621c39cf1b5787889d1b,1.5155901,3.8170755,9.373086,4.538831,0.8086606,8.844386,10.905997,8.862046,6.712628,9.433785,3.2683408,3.3036613,5.465072,4.4313297,3.1002855,51
832dd5a44c1672794dcbcbcf,1.2956342,3.98274,9.277966,4.077358,1.1766766,8.903822,10.57343,9.3307295,6.6996703,9.308823,3.260975,3.6130526,5.691374,4.805637,3.1800604,-1
89393e3a5318193fed8c0c97,1.0652308,3.706515,9.147057,4.5306892,0.8975535,8.54514,10.986584,9.215945,7.3184395,9.351946,3.330336,3.446736,6.1728573,4.8290954,3.3522022,-1
8bc840c7f653096ac1b92dc3,0.8951747,4.4566727,9.326866,4.04727,0.18602823,8.460891,11.385387,9.141325,6.644272,9.634291,2.8273997,3.2211235,5.601106,4.419965,3.17552,25
8d61b73abe6345848d145fef,0.32325786,4.923089,10.085429,4.933279,0.75485194,9.364528,9.713243,9.236523,6.900663,9.485425,3.0449302,3.6787732,5.939885,4.346143,2.9415958,45
8ea0d161e21af3855625e07a,1.0291092,4.454713,9.223157,4.034219,0.7232423,8.00964,11.766965,8.834821,7.139556,8.938805,2.400545,3.0668435,5.6367254,4.7090454,3.7444353,53
968e9d1aa62e861d8a549b22,1.6205937,3.9078622,9.444373,5.270917,0.55791366,9.143691,9.707582,9.435894,6.818321,9.590888,2.7300966,3.5468163,5.5820804,4.837523,3.2738252,-1
9dcf8c5a498302082a15484d,1.3506004,3.7695754,9.572323,4.8947186,1.3132143,8.623827,10.169834,9.406483,6.9384747,8.816459,3.2826486,3.3767936,5.4144864,4.6012516,3.4437206,-1
aac07ad89811dbca48b46349,1.2410353,3.9529412,9.317732,3.466191,0.8992141,8.175148,11.007694,9.62706,6.6253877,9.822689,3.7574968,3.4636858,5.597353,5.0934644,3.132513,22
adb7bf1145f7bffc260f600a,1.3830254,4.313188,9.546071,4.230615,1.4372177,8.549775,11.28256,8.550497,7.0534997,9.141742,3.0783865,3.6167862,5.4579577,4.695296,3.184096,54
